blacklist_manual,#genre#
欢笑剧场,https://live.goodiptv.club/api/bestv.php?id=hxjc8m/8000000
劲爆体育,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
快乐垂钓,https://live.goodiptv.club/api/bestv.php?id=klcd8m/8000000
金鹰纪实,https://live.goodiptv.club/api/bestv.php?id=jyjs8m/8000000
戏曲精选,https://live.goodiptv.club/api/bestv.php?id=xqjx8m/8000000
上海第一财经,https://live.goodiptv.club/api/bestv.php?id=dycjhd8m/8000000
上视新闻,https://live.goodiptv.club/api/bestv.php?id=xwzhhd8m/8000000
上海都市,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
上海纪实,https://live.goodiptv.club/api/bestv.php?id=jspdhd/4000000
东方影视,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
五星体育,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
上视外语,https://live.goodiptv.club/api/bestv.php?id=icshd8m/8000000
七彩戏剧,https://live.goodiptv.club/api/bestv.php?id=qcxjhd8m/8000000
上海教育,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
全纪实,https://live.goodiptv.club/api/bestv.php?id=qjshd8m/8000000
生活时尚,https://live.goodiptv.club/api/bestv.php?id=shss8m/8000000
新视觉,https://live.goodiptv.club/api/bestv.php?id=xsjhd8m/8000000
游戏风云,https://live.goodiptv.club/api/bestv.php?id=yxfy8m/8000000
热门综艺,https://live.goodiptv.club/api/bestv.php?id=rmzy8m/8000000
超级体育,https://live.goodiptv.club/api/bestv.php?id=qcsj8m/8000000
健康养生,https://live.goodiptv.club/api/bestv.php?id=jkys8m/8000000
百变课堂,https://live.goodiptv.club/api/bestv.php?id=bbkt8m/8000000
看天下精选,https://live.goodiptv.club/api/bestv.php?id=ktxjx8m/8000000
华语影院,https://live.goodiptv.club/api/bestv.php?id=hyyy8m/8000000
电竞天堂,https://live.goodiptv.club/api/bestv.php?id=djtt8m/8000000
青春动漫,https://live.goodiptv.club/api/bestv.php?id=qcdm8m/8000000
宝宝动画,https://live.goodiptv.club/api/bestv.php?id=bbdh8m/8000000
星光影院,https://live.goodiptv.club/api/bestv.php?id=xgyy8m/8000000
谍战剧场,https://live.goodiptv.club/api/bestv.php?id=dzjc8m/8000000
全球大片,https://live.goodiptv.club/api/bestv.php?id=qqdp8m/8000000
热门剧场,https://live.goodiptv.club/api/bestv.php?id=rmjc8m/8000000
陶瓷高清,https://live.goodiptv.club/api/bestv.php?id=taocihd/8000000
中国教育-1,https://live.goodiptv.club/api/bestv.php?id=zgjy1t8m/8000000
中国教育-4,https://live.goodiptv.club/api/bestv.php?id=zgjy4hd8m/8000000
卡酷少儿,https://live.goodiptv.club/api/bestv.php?id=kkse8m/8000000
纪实科教,https://live.goodiptv.club/api/bestv.php?id=dajs8m/8000000
茶频道,https://live.goodiptv.club/api/bestv.php?id=cpdhdavs8m/8000000
足球高清,https://live.goodiptv.club/api/bestv.php?id=zqpd8m/8000000
炫动卡通,https://live.goodiptv.club/api/bestv.php?id=hhxd8m/8000000
东方财经,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
都市剧场,https://live.goodiptv.club/api/bestv.php?id=dsjc8m/8000000
动漫秀场,https://live.goodiptv.club/api/bestv.php?id=dmxc8m/8000000
法治天地,https://live.goodiptv.club/api/bestv.php?id=fztd8m/8000000
金色学堂,https://live.goodiptv.club/api/bestv.php?id=jingsepd8m/8000000
魅力足球,https://live.goodiptv.club/api/bestv.php?id=mlyyhd8m/8000000
历年春晚小品合集,https://www.goodiptv.club/yy/1382773716
历年春晚小品合集,https://www.goodiptv.club/yy/1355555484
贾玲春晚小品,https://www.goodiptv.club/yy/1382736720
宋小宝春晚小品合集,https://www.goodiptv.club/yy/1382736866
巩汉林春晚小品合集,https://www.goodiptv.club/yy/1354889035
小沈阳春晚小品,https://www.goodiptv.club/yy/1382749941
春晚小品,https://www.goodiptv.club/yy/1382773708
春晚小品,https://www.goodiptv.club/yy/1382773711
春晚小品,https://www.goodiptv.club/yy/1382773715
春晚小品,https://www.goodiptv.club/yy/1382773706
蔡明春晚小品,https://www.goodiptv.club/yy/1354936177
CCTV 中國央視,https://www.goodiptv.club/youtube/bEZYrBMYNNg
斗鱼体育1,https://www.goodiptv.club/douyu/10302182
斗鱼体育2,https://www.goodiptv.club/douyu/9170147
斗鱼体育3,https://www.goodiptv.club/douyu/9471214
士兵突击,https://www.goodiptv.club/huya/11342430
士兵突击,https://www.goodiptv.club/yy/1382828766
勇敢的心,https://www.goodiptv.club/yy/1354792480
白夜追凶第一季,https://www.goodiptv.club/yy/1354932359
白鹿原,https://www.goodiptv.club/yy/1451064143
神雕侠侣,https://www.goodiptv.club/yy/1351762426
倚天屠龙记,https://www.goodiptv.club/yy/1354755003
倚天屠龙记,https://www.goodiptv.club/yy/1354585252
倚天屠龙记,https://www.goodiptv.club/yy/1451866697
倚天屠龙记,https://www.goodiptv.club/yy/1449856066
天屠龙记,https://www.goodiptv.club/yy/1382818085
雪中悍刀行,https://www.goodiptv.club/yy/1354943110
天龙八部,https://www.goodiptv.club/yy/1382749944
天龙八部,https://www.goodiptv.club/yy/1351814644
笑傲江湖,https://www.goodiptv.club/yy/1354930909
鹿鼎记,https://www.goodiptv.club/yy/1355104118
封神榜,https://www.goodiptv.club/yy/1353426319
新白娘子传奇,https://www.goodiptv.club/yy/1354490667
宝莲灯前传,https://www.goodiptv.club/yy/1354931631
父母爱情,https://www.goodiptv.club/yy/1354926650
父母爱情,https://www.goodiptv.club/yy/1382746276
三国演义,https://www.goodiptv.club/yy/32788000
西游记后传,https://www.goodiptv.club/yy/1382736846
少年包青天,https://www.goodiptv.club/yy/1382651363
宰相刘罗锅,https://www.goodiptv.club/yy/1382745191
神医喜来乐,https://www.goodiptv.club/yy/1382714119
伪装者,https://www.goodiptv.club/yy/1354936244
雍正王朝,https://www.goodiptv.club/huya/11342439
雍正王朝,https://www.goodiptv.club/yy/26650882
神探狄仁杰,https://www.goodiptv.club/yy/38338029
金装四大才子,https://www.goodiptv.club/yy/1354926600
公主嫁到,https://www.goodiptv.club/yy/1382736915
宫心计,https://www.goodiptv.club/yy/1382828769
宫心计,https://www.goodiptv.club/yy/1354932429
法证先锋,https://www.goodiptv.club/yy/1354930965
法证先锋,https://www.goodiptv.club/yy/1354930939
飞虎之潜行极战,https://www.goodiptv.club/yy/1354932420
狂飙,https://www.goodiptv.club/yy/14072363
欢乐颂,https://www.goodiptv.club/yy/1382735624
《刑事侦缉档案》4部连播,https://www.goodiptv.club/yy/95017956
《鉴证实录》两部连播,https://www.goodiptv.club/yy/1460336255
【一代枭雄】24h,https://www.goodiptv.club/yy/1355917294
【狂飙】4K,https://www.goodiptv.club/yy/1382773728
【鹿鼎记】金庸经典,https://www.goodiptv.club/yy/28265277
【盜暮笔记】24h,https://www.goodiptv.club/yy/1382702247
【电视剧】士兵突击,https://www.goodiptv.club/yy/96731358
83射雕英雄传,https://www.goodiptv.club/yy/1354210357
家有九凤-影视剧,https://www.goodiptv.club/yy/1354930894
我的前半生,https://www.goodiptv.club/yy/1382735564
我爱我家,https://www.goodiptv.club/yy/1382735557
金婚,https://www.goodiptv.club/yy/1382736832
金婚,https://www.goodiptv.club/yy/1382828768
苦乐村官,https://www.goodiptv.club/yy/1382736864
康熙王朝,https://www.goodiptv.club/yy/1382736818
康熙微服私访记,https://www.goodiptv.club/yy/1352811698
鹿鼎记-陈小春版,https://www.goodiptv.club/yy/1382736920
十大经典港剧之《大时代》,https://www.goodiptv.club/yy/1354930891
笑傲江湖-电视剧,https://www.goodiptv.club/yy/1354936128
情满四合院,https://www.goodiptv.club/yy/1382736848
情满四合院,https://www.goodiptv.club/yy/1382736888
情满四合院,https://www.goodiptv.club/yy/30736888
新三国,https://www.goodiptv.club/huya/11352944
新水浒,https://www.goodiptv.club/huya/11342384
新水浒传,https://www.goodiptv.club/yy/1356059275
神探狄仁杰2,https://www.goodiptv.club/yy/1382828767
正阳门下,https://www.goodiptv.club/yy/1354931580
大江大河2-高分影视推荐,https://www.goodiptv.club/yy/1382736797
大江大河-高分影视推荐,https://www.goodiptv.club/yy/1382736806
大太监-tvb经典古装,https://www.goodiptv.club/yy/1382736886
大唐双龙传,https://www.goodiptv.club/yy/1354930979
中国第一神探-狄仁杰,https://www.goodiptv.club/yy/1354932438
天下第一,https://www.goodiptv.club/yy/1355554637
天下第一,https://www.goodiptv.club/yy/1382736838
天龙八部（国语版）,https://www.goodiptv.club/yy/1382736855
天龙八部蓝光,https://www.goodiptv.club/yy/1355652820
武林外传,https://www.goodiptv.club/yy/1354752120
武林外传,https://www.goodiptv.club/yy/1353852605
武林外传,https://www.goodiptv.club/huya/21059598
平凡岁月,https://www.goodiptv.club/yy/1382745117
法证先锋Ⅲ,https://www.goodiptv.club/yy/1382736802
法证先锋Ⅳ,https://www.goodiptv.club/yy/1354932426
灌篮高手,https://www.goodiptv.club/yy/1382735626
隋唐英雄传 蓝光,https://www.goodiptv.club/yy/1352475619
宫心计-港剧-古装,https://www.goodiptv.club/yy/1354933540
寻秦记-穿越剧经典,https://www.goodiptv.club/yy/1382749900
憨豆先生-经典喜剧,https://www.goodiptv.club/yy/1354936239
济公游记,https://www.goodiptv.club/yy/1355265814
爱情公寓,https://www.goodiptv.club/huya/11336726
红楼梦1987经典版,https://www.goodiptv.club/yy/1382745084
周星星,https://www.goodiptv.club/huya/24470631
周星星,https://www.goodiptv.club/huya/11336587
李连杰,https://www.goodiptv.club/huya/11342390
洪金宝,https://www.goodiptv.club/huya/11279251
梁家辉,https://www.goodiptv.club/huya/11342429
许冠英,https://www.goodiptv.club/huya/11601972
刘德华,https://www.goodiptv.club/huya/11342424
斯坦森,https://www.goodiptv.club/huya/21059588
星爷,https://www.goodiptv.club/huya/11342412
英叔,https://www.goodiptv.club/huya/11342421
发哥,https://www.goodiptv.club/huya/11342387
成龙,https://www.goodiptv.club/huya/11342386
王晶,https://www.goodiptv.club/huya/11602058
沈腾,https://www.goodiptv.club/huya/11601968
黄渤,https://www.goodiptv.club/huya/11352876
强森,https://www.goodiptv.club/huya/21059581
甄子丹,https://www.goodiptv.club/huya/11352935
冯小刚,https://www.goodiptv.club/huya/11352906
贺岁片,https://www.goodiptv.club/huya/11601986
功夫片,https://www.goodiptv.club/huya/11352941
黑帮片,https://www.goodiptv.club/huya/11336719
丧尸片,https://www.goodiptv.club/huya/21059578
灾难片,https://www.goodiptv.club/huya/11602075
谍战片,https://www.goodiptv.club/huya/21059587
战争片,https://www.goodiptv.club/huya/21059574
犯罪片,https://www.goodiptv.club/huya/11352974
古装片,https://www.goodiptv.club/huya/11336590
高分动作,https://www.goodiptv.club/huya/11352884
搞笑喜剧,https://www.goodiptv.club/huya/11342423
国外科幻,https://www.goodiptv.club/yy/1382736800
超炫科幻大片,https://www.goodiptv.club/yy/1382736840
高分科幻动作片,https://www.goodiptv.club/yy/1382749948
外国科幻大片,https://www.goodiptv.club/yy/1382747628
国内科幻片,https://www.goodiptv.club/yy/1382745110
